@relation 'refined_final_refactor-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,21'

@attribute anon numeric
@attribute file numeric
@attribute kernel numeric
@attribute kernel_stack numeric
@attribute pagetables numeric
@attribute percpu numeric
@attribute sock numeric
@attribute vmalloc numeric
@attribute shmem numeric
@attribute file_mapped numeric
@attribute file_dirty numeric
@attribute file_writeback numeric
@attribute swapcached numeric
@attribute inactive_anon numeric
@attribute active_anon numeric
@attribute inactive_file numeric
@attribute active_file numeric
@attribute slab numeric
@attribute memory.swap.current numeric
@attribute memory.current numeric
@attribute usage_usec_delta numeric
@attribute user_usec_delta numeric
@attribute system_usec_delta numeric
@attribute nr_throttled/sec numeric
@attribute throttled_usec/sec numeric
@attribute rbytes/sec numeric
@attribute wbytes/sec numeric
@attribute rios/sec numeric
@attribute wios/sec numeric
@attribute workingset_refault_anon/sec numeric
@attribute workingset_refault_file/sec numeric
@attribute workingset_activate_anon/sec numeric
@attribute workingset_activate_file/sec numeric
@attribute workingset_restore_anon/sec numeric
@attribute workingset_restore_file/sec numeric
@attribute pgscan/sec numeric
@attribute pgsteal/sec numeric
@attribute pgscan_kswapd/sec numeric
@attribute pgscan_direct/sec numeric
@attribute pgsteal_kswapd/sec numeric
@attribute pgsteal_direct/sec numeric
@attribute pgfault/sec numeric
@attribute pgmajfault/sec numeric
@attribute pgrefill/sec numeric
@attribute pgactivate/sec numeric
@attribute rx_bytes/sec numeric
@attribute tx_packets/sec numeric
@attribute rx_packets/sec numeric
@attribute tx_bytes/sec numeric
@attribute slab_reclaimable_ratio numeric
@attribute slab_unreclaimable_ratio numeric
@attribute status {0,1,2,3}

@data
7229440,2098327552,39477248,4440064,2945024,5080,1105920,8192,135168,6184960,24576,0,397312,1683456,6053888,1389150208,708902912,31783160,9351168,2146963456,2678737,78590,2600148,0,0,1203443133.09,0,9337.61,0,2.24,288674.85,0,22699.5,0,22695.77,294048.28,293899.33,0,294048.28,0,293899.33,32065.86,125.81,29006.21,98.93,1511030614.8,25830.46,26827.94,1726328.12,0.89,0.11,0
7204864,2099208192,39280640,4440064,2928640,5080,729088,8192,135168,4726784,24576,0,397312,1667072,6045696,735682560,1363304448,31604496,9375744,2147463168,2836955,76294,2760661,0,0,1182580303.18,106841.31,9219.39,26.08,12.34,283404.92,0.7,17112.01,0.7,17104.61,288667.25,288479.73,0,288667.25,0,288479.73,31608.19,130.42,30334.64,144.52,1492559658.51,25278.86,26462.18,1689217.49,0.89,0.11,0
6901760,2098778112,38203392,4440064,2899968,5080,2486272,8192,184320,8077312,0,0,241664,2686976,4640768,683761664,1414713344,30570600,10485760,2147229696,2833670,73877,2759794,0,0,1176256972.76,278976.73,9206.79,68.11,6,281551.49,1.41,16120.44,1.41,16081.62,287686.99,287419.14,0,287686.99,0,287419.14,31980.08,125.28,28788.46,198.33,1539122243.59,26197.83,27304.52,1750787.14,0.88,0.12,0
6889472,2098561024,39632896,4440064,2936832,5080,1855488,8192,135168,5488640,12288,0,114688,2641920,4472832,175775744,1922506752,31963128,9695232,2147463168,2758283,102315,2655967,0,0,1166024028.72,0,9051.28,0,3.26,284682.17,0.36,24771.21,0.36,24768.67,284846.04,284779.34,0,284846.04,0,284779.34,31814.36,125.08,26394.32,46.04,1513953136.06,26148.88,26846.41,1747132.55,0.89,0.11,0
6848512,2099658752,39620608,4440064,2928640,5080,512000,8192,135168,1728512,8192,0,118784,3788800,3289088,717922304,1381519360,31950256,9736192,2147328000,2779890,45083,2734808,0,0,1171820617.36,200387.79,9060.43,48.92,9.35,286079.67,1.08,18077.69,1.08,18077.69,286219.96,286039.74,0,286219.96,0,286039.74,31678.23,125.18,28136.37,122.67,1496995437.95,25573.31,26623,1708905.03,0.89,0.11,0
6586368,2096275456,38580224,4440064,2928640,5080,5046272,8192,184320,17780736,0,0,135168,5189632,1716224,837652480,1258295296,30903272,10801152,2147414016,2541475,66387,2475088,0,0,1211517336.98,146661.29,9490.95,35.81,2.75,293151.81,1.18,16617.91,1.18,16571.48,296184.7,296059.57,0,296184.7,0,296059.57,32161.24,123.94,23269.95,81.45,1513870311.53,25840.11,26865.11,1726896.39,0.88,0.12,0
6430720,2098626560,39624704,4440064,2936832,5080,1728512,8192,135168,6729728,0,0,114688,1818624,4837376,886018048,1212411904,31952360,10170368,2146615296,2752829,87184,2665646,0,0,1152495246.16,62492.8,8922.09,15.26,4.36,281354.93,0,12815.18,0,12815.18,281561.62,281504.23,0,281561.62,0,281504.23,31835.98,119.88,32354.35,21.07,1514821868.7,25898.45,26890.88,1730574.62,0.89,0.11,0
6406144,2100293632,39608320,4440064,2928640,5080,335872,8192,135168,1617920,0,0,221184,4755456,1982464,660676608,1439440896,31940912,10194944,2147311616,2687612,72418,2615194,0,0,1196072075.88,70105.36,9276.26,17.12,6.7,292004.95,0,14234.57,0,14234.57,291944.67,291884.77,0,291944.67,0,291884.77,31367.62,131.34,20381.66,34.6,1474651319.46,25339.97,26169.33,1693159.95,0.89,0.11,0
6385664,2100310016,39604224,4440064,2928640,5080,462848,8192,135168,4763648,0,0,110592,1789952,4816896,63356928,2036801536,31939128,10215424,2146926592,2752015,89854,2662161,0,0,1161782690.86,0,8982.15,0,10.17,283639.81,0,24288.02,0,24288.02,283702.31,283673.6,0,283702.31,0,283673.6,31636.46,132.63,32535.8,24.35,1513579005.93,25994.04,26871.58,1736890.24,0.89,0.11,0
6373376,2095153152,39718912,4440064,3002368,5080,5804032,8192,135168,25808896,0,0,196608,1753088,4927488,518406144,1576427520,31978024,10227712,2147303424,2772153,75952,2696202,0,0,1199847517.8,47281.66,9283.4,11.54,6.85,292935.85,0,16996.18,0,16996.18,293358.99,293316.06,0,293358.99,0,293316.06,31129.59,141.05,26924.56,13.35,1463156654.77,25126.68,26011.19,1679133.87,0.89,0.11,0
